sig_a,sig_b,pearson,cosine,rmse,std_a,std_b,abs_pearson
pdf_text_to_geom_ratio,pdf_red_dim_density,,,0.0,0.0,0.0,
pdf_text_to_geom_ratio,pdf_dim_density,,,0.0,0.0,0.0,
pdf_text_to_geom_ratio,pdf_bendline_score,,,0.0,0.0,0.0,
pdf_text_to_geom_ratio,pdf_bendline_entity_density,,,0.0,0.0,0.0,
pdf_text_to_geom_ratio,dxf_perimeter_area_ratio,,,0.0,0.0,0.0,
pdf_text_to_geom_ratio,dxf_longest_edge_ratio,,,0.0,0.0,0.0,
pdf_text_to_geom_ratio,dxf_internal_void_area_ratio,,,0.0,0.0,0.0,
pdf_text_to_geom_ratio,dxf_hole_count,,,0.0,0.0,0.0,
pdf_text_to_geom_ratio,dxf_has_interior_polylines,,,0.0,0.0,0.0,
pdf_text_to_geom_ratio,dxf_fill_ratio,,,0.0,0.0,0.0,
pdf_text_to_geom_ratio,dxf_exterior_notch_count,,,0.0,0.0,0.0,
pdf_text_to_geom_ratio,dxf_entity_count,,,0.0,0.0,0.0,
pdf_text_to_geom_ratio,dxf_edge_length_cv,,,0.0,0.0,0.0,
pdf_text_to_geom_ratio,dxf_edge_band_entity_ratio,,,0.0,0.0,0.0,
pdf_text_to_geom_ratio,dxf_concave_corner_ratio,,,0.0,0.0,0.0,
pdf_text_to_geom_ratio,dxf_color_count,,,0.0,0.0,0.0,
pdf_text_to_geom_ratio,dxf_bbox_aspect_ratio,,,0.0,0.0,0.0,
pdf_text_to_geom_ratio,dxf_arc_length_ratio,,,0.0,0.0,0.0,
pdf_text_to_geom_ratio,dxf_arc_count,,,0.0,0.0,0.0,
pdf_red_dim_density,pdf_dim_density,,,0.0,0.0,0.0,
pdf_red_dim_density,pdf_bendline_score,,,0.0,0.0,0.0,
pdf_red_dim_density,pdf_bendline_entity_density,,,0.0,0.0,0.0,
pdf_red_dim_density,dxf_perimeter_area_ratio,,,0.0,0.0,0.0,
pdf_red_dim_density,dxf_longest_edge_ratio,,,0.0,0.0,0.0,
pdf_red_dim_density,dxf_internal_void_area_ratio,,,0.0,0.0,0.0,
pdf_red_dim_density,dxf_hole_count,,,0.0,0.0,0.0,
pdf_red_dim_density,dxf_has_interior_polylines,,,0.0,0.0,0.0,
pdf_red_dim_density,dxf_fill_ratio,,,0.0,0.0,0.0,
pdf_red_dim_density,dxf_exterior_notch_count,,,0.0,0.0,0.0,
pdf_red_dim_density,dxf_entity_count,,,0.0,0.0,0.0,
pdf_red_dim_density,dxf_edge_length_cv,,,0.0,0.0,0.0,
pdf_red_dim_density,dxf_edge_band_entity_ratio,,,0.0,0.0,0.0,
pdf_red_dim_density,dxf_concave_corner_ratio,,,0.0,0.0,0.0,
pdf_red_dim_density,dxf_color_count,,,0.0,0.0,0.0,
pdf_red_dim_density,dxf_bbox_aspect_ratio,,,0.0,0.0,0.0,
pdf_red_dim_density,dxf_arc_length_ratio,,,0.0,0.0,0.0,
pdf_red_dim_density,dxf_arc_count,,,0.0,0.0,0.0,
pdf_dim_density,pdf_bendline_score,,,0.0,0.0,0.0,
pdf_dim_density,pdf_bendline_entity_density,,,0.0,0.0,0.0,
